iter	Passed	Remaining
0	22	11198
1	33	8374
2	57	9542
3	67	8312
4	74	7423
5	86	7106
6	94	6677
7	102	6326
8	112	6115
9	119	5831
10	127	5648
11	134	5459
12	141	5289
13	149	5205
14	159	5153
15	166	5041
16	174	4970
17	182	4895
18	189	4785
19	197	4729
20	205	4679
21	212	4621
22	218	4540
23	226	4495
24	233	4435
25	241	4399
26	248	4355
27	255	4310
28	263	4272
29	269	4229
30	277	4201
31	283	4152
32	292	4138
33	298	4096
34	305	4064
35	312	4027
36	318	3983
37	325	3951
38	330	3910
39	338	3887
40	344	3861
41	351	3833
42	358	3805
43	364	3773
44	370	3749
45	376	3719
46	382	3688
47	389	3669
48	394	3633
49	400	3608
50	407	3583
51	412	3552
52	418	3527
53	423	3497
54	428	3467
55	433	3439
56	439	3415
57	444	3386
58	449	3360
59	454	3336
60	460	3311
61	465	3286
62	471	3274
63	477	3256
64	483	3235
65	488	3214
66	494	3192
67	499	3173
68	505	3156
69	510	3135
70	516	3117
71	521	3099
72	528	3090
73	534	3078
74	553	3136
75	558	3116
76	564	3101
77	570	3084
78	574	3061
79	580	3045
80	585	3030
81	591	3014
82	597	3001
83	603	2988
84	609	2974
85	615	2962
86	620	2946
87	626	2931
88	631	2918
89	637	2903
90	642	2888
91	648	2877
92	653	2861
93	660	2851
94	666	2839
95	672	2828
96	678	2817
97	684	2808
98	690	2796
99	697	2789
100	703	2777
101	708	2765
102	715	2757
103	721	2746
104	727	2735
105	733	2726
106	740	2718
107	747	2712
108	753	2701
109	759	2691
110	765	2682
111	770	2670
112	776	2659
113	781	2645
114	786	2632
115	792	2621
116	797	2609
117	802	2597
118	808	2587
119	813	2575
120	818	2563
121	824	2554
122	829	2542
123	834	2529
124	838	2516
125	844	2506
126	849	2493
127	853	2480
128	859	2471
129	864	2460
130	869	2448
131	875	2439
132	879	2428
133	884	2416
134	890	2406
135	894	2395
136	899	2383
137	904	2372
138	909	2362
139	914	2352
140	919	2341
141	925	2333
142	929	2321
143	934	2309
144	939	2299
145	944	2289
146	949	2280
147	954	2271
148	960	2261
149	964	2251
150	970	2242
151	975	2232
152	979	2222
153	984	2212
154	993	2210
155	999	2202
156	1005	2197
157	1011	2190
158	1018	2184
159	1024	2177
160	1031	2171
161	1038	2166
162	1044	2159
163	1052	2155
164	1058	2149
165	1065	2142
166	1072	2138
167	1078	2131
168	1086	2127
169	1092	2120
170	1098	2114
171	1105	2107
172	1111	2101
173	1119	2097
174	1126	2091
175	1134	2088
176	1141	2082
177	1148	2078
178	1155	2072
179	1162	2065
180	1169	2061
181	1176	2055
182	1184	2051
183	1191	2046
184	1198	2040
185	1205	2035
186	1211	2027
187	1217	2020
188	1221	2009
189	1226	2001
190	1232	1993
191	1237	1984
192	1242	1976
193	1247	1967
194	1252	1959
195	1257	1950
196	1262	1942
197	1268	1934
198	1273	1925
199	1278	1918
200	1283	1909
201	1288	1901
202	1293	1892
203	1298	1884
204	1303	1875
205	1307	1866
206	1313	1859
207	1318	1851
208	1323	1842
